2019-12-19 17:09:15 INFO  RestAPITestinForEmployeeDB:40 - ####-------- TC001_GetAllEmployees starts -------#####
2019-12-19 17:09:24 INFO  RestAPITestinForEmployeeDB:52 - ----------- Cheking response --------------
2019-12-19 17:09:25 INFO  RestAPITestinForEmployeeDB:62 - ####-------- TC001_GetAllEmployees ends -------#####
2019-12-19 17:32:25 INFO  RestAPITestinForEmployeeDB:41 - ####-------- TC001_GetAllEmployees starts -------#####
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:85 - ------------ checking content type the header -----------
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:87 - Content Type :-->> text/html; charset=iso-8859-1
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:74 - ------------ Checking response time of the request------------
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:79 - Response time :---> 2904
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:93 - ----------- checking server type of the header ----------
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:95 - Server type :--->>> nginx/1.16.0
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:62 - ------------ checking status line and status code --------------
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:53 - ----------- Cheking response --------------
2019-12-19 17:32:35 INFO  RestAPITestinForEmployeeDB:102 - ####-------- TC001_GetAllEmployees ends -------#####
2019-12-19 19:04:01 INFO  RestAPITestinForEmployeeDB:41 - ####-------- TC001_GetAllEmployees starts -------#####
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:85 - ------------ checking content type the header -----------
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:87 - Content Type :-->> text/html; charset=UTF-8
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:74 - ------------ Checking response time of the request------------
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:79 - Response time :---> 4046
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:93 - ----------- checking server type of the header ----------
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:95 - Server type :--->>> nginx/1.16.0
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:62 - ------------ checking status line and status code --------------
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:67 - Status Code :---> 200
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:68 - Status Line :---> HTTP/1.1 200 OK
2019-12-19 19:04:14 INFO  RestAPITestinForEmployeeDB:53 - ----------- Cheking response --------------
2019-12-19 19:04:15 INFO  RestAPITestinForEmployeeDB:102 - ####-------- TC001_GetAllEmployees ends -------#####
2019-12-19 19:16:40 INFO  RestAPITestinForEmployeeDB:37 - #####-------- TC002_GetSingleEmployeeData starts --------######
2019-12-19 19:16:41 INFO  RestAPITestinForEmployeeDB:53 - -------- checking status line and status code -------
2019-12-19 19:16:41 INFO  RestAPITestinForEmployeeDB:46 - --------- getting response ----------
2019-12-19 19:16:44 INFO  RestAPITestinForEmployeeDB:48 - Response is :-->>> 
